*** In main (part-2): printing character code Table ****
**** Below is the character code Table ****
Ascii	character	code
10	
	100111
32	 	111
39	'	0000110011
40	(	10010100000101
41	)	10010100000100
44	,	100110
45	-	10010100000111
46	.	1001011
49	1	1011000010
51	3	10010100011
52	4	10010100000110
53	5	1001010000100
54	6	10010100010
56	8	0000110010
57	9	10010100101
59	;	10010100000001
65	A	101100010
66	B	1001010111
67	C	000011100
68	D	10010100000000
70	F	10110000111
71	G	101100000
72	H	1001010000101
73	I	100101010
74	J	10010100000011
76	L	1001010011
77	M	101100001101
78	N	000011010
79	O	101100001100
80	P	1001010110
83	S	000011101
84	T	101100011
85	U	000011000
87	W	000011011
97	a	1010
98	b	000010
99	c	110010
100	d	11000
101	e	010
102	f	110011
103	g	101101
104	h	0011
105	i	0001
106	j	10010100000010
107	k	00001111
108	l	01111
109	m	000001
110	n	0110
111	o	1000
112	p	1011001
113	q	10010100100
114	r	0010
115	s	10111
116	t	1101
117	u	100100
118	v	011100
119	w	011101
120	x	100101000011
121	y	000000
